id,value
language,C'opojel
home.title,Tut smajanel Taqu'in
home.text,Quechel ta pasel
conocenos.title,Na'botic jbahtic
conocenos.text,Li' ay te sna'ojibal binut'il ya jna'bey jbahtic
origen.title,Jhahchibaltic
origen.text,Quechel ta pasel
publicaciones.title,Spucoji'bal ta halel lec stuquinel taqu'in ta jun pajal
publicaciones.text1,Quechel ta pasel
publicaciones.text2,Quechel ta pasel
contacto.title,Banti xhu' ya jchol jbahtic
contacto.text,Ts'ihbaybotic bin ya sc'an a wo'tan yaca wal ta:
acceder.pswd-help,Cha'y ta co'tan te smacojibal a'telil
acceder.submit,Ochel
layout.chooseLanguage,C'opojel
menu.start,Shachi'bal
menu.us,Jna'bey jbahtic
menu.origin,Shachibal talel
menu.publication,Chicnajtesbil ta spisil
menu.contact,Banti xhu' ya jchol jbahtic
menu.login,Sc'anel ochel
pmenu.socios,Jwohc' ants winiquetic
pmenu.movimientos,Yaqu'el tso'bil taqu'inetic
pmenu.acopios,Stso'bel a'tel
pmenu.solicitudes,Shunil c'ambajel
pmenu.tsumbalil,Ts'umbalil
pmenu.logout,Smaquel a'tel
socios.title,Jwohc' ants winiquetic
socios.clave,Yahtalul
socios.claveCafe,Yahtalul TX
socios.nombre,Sbihil
apellido_paterno,Sbahbeyal sjol sbihil
apellido_materno,Xche'bal sjol sbihil
socios.region,Jsehp squ'inalel
socios.comunidad,Comonal
socios.ingreso-ya,Ochel ta YA
socios.cafe,Capel
socios.miel,Cha'b
socios.jabon,Xapon
socios.trabajador,J'a'teletic
socios.general,Comon Sit Ca'teltic
socios.newSocioButton,Yach'il jwohc' ants winic
approveButton,Sc'asesel ta c'abal
disapproveButton,Ma' sohltesel
saveButton,Squ'ejel
editButton,Scha' pasel
cancelButton,Squehchanel ta spasel
socioForm.title,Jwohc ants winiquetic
socioForm.age,Ha'biletic
nombres,Bihililetic
apellidos,Sjol bihililetic
socioForm.comunidad,Comonal- Jsehp squ'inalel
socioForm.curp,Yahtalul ochel ta hun
telefono,C'opoji'bal
socioForm.genero,Ants/Winic
socioForm.fecha_nacimiento,Sc'ahc'alel ayinel ta bahlumilal
socioForm.fecha_ingr_yomol_atel,Sc'ahc'alel ochel ta Yomol A'tel
socioForm.fecha_ingr_programa,Sc'ahc'alel ochel ta jwohc' a'tel
socioForm.cargo,Ya'tel
socioForm.cargoCoop,Ya'tel ta snahul jwohc' a'tel
socioForm.clave_anterior,Yahtalul yu'un Capel
socioForm.estatus_cafe,Stalel yu'un Capel
socioForm.estatus_miel,Stalel yu'un Cha'b
socioForm.estatus_yip,Stalel yu'un Yip Antsetic
socioForm.estatus_trabajador,Stalel yu'un J'a'teletic
socioForm.estatus_comonSit,Stalel yu'un Comon Sit Ca'teltic
socioForm.doc_ine,Shunal sloc'ol sit elawil
socioForm.doc_act_nac,Shunal sc'ahc'alel ayinel ta bahlumilal
socioForm.doc_curp,Shunal yahtalul ochel ta hun
socioForm.doc_domicilio,Shunal schicnajibal ban hahchemtalel
empresa,Muc'ul a'tel
solicitudes.title,Shunal c'ambajeletic
solicitudes.new,Yach'il shunal c'ambajel
solicitudes.folio_solicitud,Yahtalul
solicitudes.fecha_solicitud,Sc'ahc'alel
clave_socio,Ya'talul jwohc ants winic
solicitudes.tipo_credito,Bintic yu'un te smajanel taqu'in
solicitudes.monto_solicitado,Hich yipal
plazo_de_pago_solicitado,Sc'ahc'alel
solicitudes.estatus_solicitud,Stalel
solicitudes.estatus_evaluacion,Stalel yocliyel
solicitudes.disapprove,Ma' sohltesel
solicitudes.goToMesaControl,Stso'bel xchahpanel a'tel
solicitudForm.title,Yach'il shunal c'ambajel
searchSocio,Scholel sbihil ants winic
solicitudForm.fecha_solicitud,Sc'ahc'alel shunil c'ambajel
solicitudForm.tipo_credito,Bintic yu'un te smajanel taqu'in
solicitudForm.act_productiva,Sp'ohltesel shachel a'tel
solicitudForm.other,Yan
solicitudForm.motivo_credito,Bin yu'un te smajanel taqu'in
solicitudForm.emergencia_medica,Ahnutic chamel
solicitudForm.monto_solicitado,Jayeb c'ambil
solicitudForm.plazo_de_pago_solicitado,Sc'ahc'alel sc'anel stojel betil
solicitudForm.justificacion_credito,Ban ya xtuquin te smajanel taqu'in
solicitudForm.comentarios_promotor,Sc'op tehc'ambil jyuc' a'tel
solicitudForm.pregunta_1,Stso'bel xchahpanel a'tel - sbahbeyal johc'oyel
solicitudForm.pregunta_2,Stso'bel xchahpanel a'tel - sche'bal johc'oyel
solicitudForm.pregunta_3,Stso'bel xchahpanel a'tel - yoxe'bal johc'oyel
solicitudForm.pregunta_4,Stso'bel xchahpanel a'tel - xchane'bal johc'oyel
mesaControl.irregularidades,Banti ma xchicnaj lec sc'oblal
solicitudForm.aval,Ants winiquetic te ya xchuc sbahic ta yutil a'tel
solicitudForm.familiar_responsable,Mach'a ya yihquitay hilel ta yutil sna
tsumbalil.title,Ts'umbalil
tsumbalil.nombre_de_comunidad,Comonal
tsumbalil.nombre_region,Jsehp squ'inalel
tsumbalil.newComunidad,Yach'il Comonal
tsumbalil.id,#
comunidadForm.title,Comonal
comunidadForm.nombre_de_comunidad,Sbihil comonal
perfil.title,Sloc'ol bin quileltic
buscar,Slehel
apagar,Stup'el
all,Spisil
sociosXLSX,Scohtesel sbihil ants winic.xlsx
acopiosXLSX,Scohtesel sts'obel a'tel.xlsx
comunidad,Comonal
region,Jsehp squ'inalel
kilos,Yalal
acopios.tipo_producto,Yantic ta chahp p'olmalil
ingreso,Ochemtalel
fecha,Sc'ahc'alel
clave,Yahtalul ants winic
acopios.title,Stsobel a'telil
acopios.newAcopio,Yach'il stsobel a'telil
selectSocio,P'eah ta banti ants winic
acopioForm.ingreso,Ochem talel
acopioForm.kilos_de_producto,Yalal p'olmalil
tipo_de_producto,Yantic ta chahp p'olmalil
acopioForm.title,Binut'il stsobel a'telil
acopioForm.avg_price,Jaye'b wan ya stah c'ohel stojol
movimientos.title,Yaqu'el tso'bil taqu'inetic
movimientos.newMovimiento,Yach'il yaqu'el tso'bil taqu'in
movimientos.actualizar,Slehel yaqu'el tso'bil taqu'inetic
movimientos.aportacion_retiro,Yaqu'el tso'bil taqu'in ma'uc teme sloqu'esel tso'bil taqu'in
movimientos.monto,Jaye'b
movimientos.fecha_banco,Sc'ahc'alel snahul squ'ejohbil taqu'in
movimientos.tipo,Yantic ta chahp yaqu'el tso'bil taqu'in
movimientos.saldo,Staqu'inul c'alal ta
movimientos.buscarSocio,Slehel ta tulutuhl ants winic
movimientos.buscarComunidad,Slehel ta jujun comonal
empresa,Muc'ul a'tel
movimientosForm.proceso,Jchahp a'tel
movimientosForm.fecha_entrega,Sc'ahc'alel yaqu'el
movimientosForm.monto,Jaye'b
movimientosForm.fecha_banco,Sc'ahc'alel snahul squ'ejohbil taqu'in
movimientosForm.title,Yaqu'el tso'bil taqu'in mauc teme sloqu'esel tso'bil taqu'in
movimientosForm.responsable_entrega,¿Mach'a la jyac te taqu'in?
movimientosForm.referencia_banco,Schicnaji'bal yahtalul ta snahul taqu'in
error.title,ma'ba lec la stsac
error.message1,Te binti jelticlambil ma'ba lec a qu'ejot
mesaControl.title,Stso'bel xchahpanel a'tel
mesaControl.solicitud,Shunil c'ambajel
mesaControl.datos,Bintic junetic ay yu'un te jc'ambahel
mesaControl.descripcion,Sts'ihbayel
mesaControl.ingresos_de_cooperativa,Yac'oj sit ya'tel ta yutil snahul chombajel
mesaControl.tiempoSolicitud,Sc'ahc'alel sc'anel smajanel taqu'in
mesaControl.observaciones,Ocliyeletic
mesaControl.promotResponsable,Macha tehc'ambil te la spasbey shunal jc'ambahel
porc_acopio_por_anio,Hich yipal xch'uhunel yaqu'el sit a'tel ta jujun ha'bil
mesaControl.familiaresYA,Jwohc nahinel ta Yomol A'tel
mesaControl.obsPromotor,Ocliyel yu'un tehc'ambil jyuc' a'tel
mesaControl.revisionCoord,Yocliyel yu'un te jolal a'tel
mesaControl.pregunta_1,¿Ts'acal bal te shun?
mesaControl.pregunta_2,¿Ay bal te c'ambil shunal ya bal stsac sbah soc te ay ta c'abal?
mesaControl.pregunta_3,¿Chican bal ta ilel te bin c'ambil soc lec bal chahpambil?
mesaControl.pregunta_4,¿Ts'acal bal te shunal soc te halbil smajanel taqu'in?
mesaControl.comentarios_coordinador,Sc'op te jolal yu'un j'a'tel
cargo,Ya'tel
cargo_coop,Ya'tel ta snahul jwohc' a'tel
cargo_mision,Ya'tel ta yutil yu'un ch'ul nah
fecha_ingr_yomol_atel,Ya'bilal ochel ta Yomol A'tel
aval,Mach'a ya xchuc hilel sbah
justificacion,Bin yu'un
tipo_credito_nombre,Bintic yu'un te smajanel taqu'in
interes_mensual,Sjol taqu'in ta jujun uh
forma_pago,Bin ut'il stojel
nombre_productor,Sbihil jloqu'esej p'olmalil
area_proceso,Jwohc' a'tel
monto_solicitado,Jayeb c'ambil
act_productiva_nombre,Sp'ohltesel shachel a'tel
mot_credito_nombre,Bin yu'un te smajanel taqu'in
fecha_solicitud,Sc'ahc'alel shunil c'ambajel
aval_nombre,Mach'a ya xchuc hilel sbah
familiar_responsable,Mach'a ya yihquitay hilel ta yutil sna
justificacion_credito,Bin yu'un
promotor,Tehc'ambil jyuc' a'tel
irregularidades,Banti ma xchicnaj lec sc'oblal
proceso_nombre,Jchahp a'tel
preguntas_mesa,Johc'oyel yu'un stso'bel xchahpanel a'tel
graph_montoVsacopios,Spajaltayel stsobel a'tel soc te c'ambil
cafe,Capel
miel,Cha'b
jabon,Xapon
salarios,Stojel a'telil
language.es,Caxlan Còp
language.tz,Bats'il c'op
pmenu.inicio,Shachi'bal
pmenu.bancos,Snahul squ'ejohbil taqu'in
pmenu.reportes,Yaqu'el ta na'el a'tel
pmenu.formatos,Shunal xchicnajtesel
pmenu.registro,Snahcanel ta hun
pmenu.creditos,Smajanel taqu'in
pmenu.pagos,Stojel
pmenu.cuentas,Ahtaletic.
pmenu.datos,Bintic ay yu'un
socios.evaluacionSocio,Yocliyel smajanel taqu'in
movimientos.empresa,Muc'ul a'tel
solicitudes.allCreditsTrue,Spisil
solicitudes.allCreditsFalse,Quechel ta ocliyel
searchSocioAval,Slehel mach'a ya xchuc hilel sbah
searchCredito,Slehel smajanel taqu'in
searchDeuda,Yahtayel betil ta hai c'ahc'al ini
acopiosXLSX.ALL,Spisil
acopiosXLSX.CF,Capel
acopiosXLSX.MI,Cha'b
acopiosXLSX.JA,Xapon
acopiosXLSX.SL,Stojel a'telil
movimientos.aportacion,Yaqu'el tso'bil taqu'in
movimientos.retiro,Sloqu'esel taqu'in
movimientos.vacio,Mayuc bin yuc'ticlambil ta tsihbayel
tipo_credito,Bintic yu'un te smajanel taqu'in
proceso,Jchahp a'tel
solicitudForm.elige,Tsaja jtuhl ants winic
solicitudes.goToEvaluacion,Yocliyel
evaluacion.solvencia,Te me xu' tojbeltic
evaluacion.volumenIngresosPresente,Jich yipal yac'o sit ya'tel ha' ini habil
evaluacion.volumenIngresosAnterior,Jich yipal yac'o sit ya'tel te c'ax habil
evaluacion.nivelSolvencia,Jich yipal ya xu' stojel
evaluacion.ultimoCredito,Slajibal smajanel taqu'in
evaluacion.UltimoCreditoMonto,Jich yipal te slajibal smajanel taqu'in
evaluacion.UltimoCreditoEstatus,Stalel te slajibal smajanel taqu'in
evaluacion.UltimoCreditoVida,Sc'ahc'alel ban c'alal ya stsacay te slajibal smajanel taqu'in
evaluacion.UltimoCreditoTotal,Ta spisil te quechelto ay betil
evaluacion.morosidad,Sc'axemal sc'ahc'alel betil
evaluacion.morosidadSocio,Sc'axemal sc'ahc'alel betil yu'un ants winic
evaluacion.morosidadComunidad,Sc'axemal sc'ahc'alel betil ta comonal
evaluacion.morosidadRegion,Sc'axemal sc'ahc'alel betil ta jsehp squ'inalel
evaluacion.posibleCredito,Yabal stah te smajanel taqu'in
evaluacion.nivelRiesgo,Bin ut'il ya stah c'ohel
evaluacion.montoSugerido,Jaye'b halbil
evaluacion.montoAprobado,Jaye'b c'asesbil ta c'abal
evaluacion.plazoPagoAprobado,Sc'ahc'alel stohel te c'asesbil ta c'abal taqu'in
evaluacion.comentariosGerente,Sc'op te muc'ul jolal yu'un a'tel
evaluacion.tasa_aprobada,Sjol taqu'in te c'asesbil ta c'abal
evaluacion.tasa_mor_aprobada,Sjol taqu'in te C'axemix ta sc'ahc'alel
negotiateButton,Schapel sc'oblal
evaluacion.30saldo,Snopel yu'un 30%
evaluacion.50saldo,Snopel yu'un 50%
mesaControl.evaluacion,Yocliyel
comentariosPromotor,C'opetic yu'un te sch'a chapel sc'oblal
reNegotiateButton,Sc'anel yan sch'a chapel sc'oblal
creditos.title,Xchicnajtesojibal sc'ahc'alel smajanel taqu'in
creditos.fecha_inicio,Shachi'bal
creditos.pagado,Tohbilix
monto,Jaye'b
plazo,Sc'ahc'alel te jayeb yuhil
tasa,Sjol taqu'in
tasa_moratoria,Sjol taqu'in te C'axemix ta sc'ahc'alel
estatus,Stalel
fecha_inicio,Sjahchibal ta sc'ahc'alel
id,Yahtalul
total,Ta spisil
creditos.estatus_ejecucion,Schahpanel
creditos.deuda_al_dia,Ta spisil betil yotic
creditos.interes_ordinario,Sjol taqu'in ta sc'ahc'alel
creditos.interes_moratorio,Sjol taqu'in ta sc'axemal sc'ahc'alel
creditos.status.PA,Tohbilix
creditos.status.VE,C'axemix ta sc'ahc'alel
creditos.status.VI,Ay to ta sc'ahc'alel
creditos.status.DP,--
creditos.status.CO,Tojbilix
creditos.status.PC,Ma to tojbil
creditos.status.CA,Quehchambil ta pasel
contratoDetail.title,Sjunal sc'uhbanel sbah yu'un ta stojel taqu'in ta junax
contratoDetail.datos,Bintic junetic ay yu'un te jc'ambahel
contratoDetail.especificaciones,Schicnajtesel ta a'iyel bin yu'un te smajanel taqu'in
contratoDetail.informacion,Yaqu'el ta na'el yu'un te stojel smajanel taqu'in
contratoDetail.texto1,Yaqu'el sme' jc'ab ta ha' ini shunal sc'uhbanel jbah yu'un te stojel jbet ta sc'ahc'alel bin ut'il te yabeyejon jmajan Comon sit Ca'teltic.
contratoDetail.firma,Sbihil soc sme' sc'ab te jmajan taqu'in
contratoDetail.graphTitle,Betil
intereses,Sjol taqu'inetic
contratoDetail.prestamo,Smajanel
creditos.condonacionButton,Sch'ayel jtebuc ta o'tanil te sjol taqu'inetic
creditos.prorrogaButton,Snajtubtesbeyel sc'ahc'alel
creditos.imprimirContratoButton,Sloqu'esel shunal sc'ahc'alel smajanel taqu'in
creditos.iniciarContrato,Xchicnajtesel jahchel shunal smajanel taqu'in
creditos.datosCobro,Bintic junetic ya sc'ambat te stojel betil
creditos.registrarPago,Snahcanel ta hun stojel betil
creditos.fecha_vencimiento,Sc'axemal sc'ahc'alel
creditos.allCreditsTrue,Spisil
creditos.allCreditsFalse,Soc betil
creditos.vida_credito,Sc'ahc'alel banc'alal smajanel taqu'in
creditos.cartera_vigente,Cuxul ay taqu'in te behenemtal ta sc'ahc'alel
creditos.cartera_vencida,Cuxul ay taqu'in te behenemtal te caxemix ta sc'ahc'alel
creditos.imprimirContrato,Sloqu'esel shunal sc'ahc'alel smajanel taqu'in
creditos.historialCredito,Behenemtalel sbehlal a'tel
contratosXLSX,Scohtesel shunal sc'ahc'alel smajanel taqu'in
contratosXLSX.ALL,Spisil
contratosXLSX.1,Sbahbeyal jsehp squ'inalel
contratosXLSX.2,Xchebal jsehp squ'inalel
contratosXLSX.3,Yoxebal jsehp squ'inalel
contratosXLSX.4,Xchanebal jsehp squ'inalel
contratosXLSX.5,Yo'ebal jsehp squ'inalel
contratosXLSX.6,Swaquebal jsehp squ'inalel
contratosXLSX.7,Sjuquebal jsehp squ'inalel
contratosXLSX.8,Swaxaquebal jsehp squ'inalel
contratosXLSX.9,Sbalunebal jsehp squ'inalel
contratosXLSX.10,Slajunebal jsehp squ'inalel
contratoUpdateForm.title,Xchicnajtesel jahchel smajanel taqu'in
contratoUpdateForm.supportText,Nahcana ta hun te sjahchibal sc'ahc'alel sjamel majambil taqu'in
contratoActivate.fechaFirma,Sc'ahc'alel yaqu'el sme' c'abal yu'un majan taqu'in
contratoActivate.tipo_tasa,Bintic yu'un te sjol taqu'in
contratoActivate.estatus_ejecucion,Stalel schahpanel (Yaqu'el taqu'in)
contratoActivate.referencia_banco,Schicnaji'bal yahtalul ta snahul taqu'in
contratoActivate.fecha_banco,Sc'ahc'alel sjunal sloqu'el taqu'in/sc'asesel taqu'in
contratoActivate.actualizar,Yach'ubtesel bintic ay yu'un te smajanel taqu'in
contratoActivate.iva,Spitel loqu'el stojol patanil
contratoPrint.gerente,Muc'ul jolal te ya yac' sc'ahtalul sbihil
contratoPrint.title,Sloqu'esel shunal sc'ahc'alel smajanel taqu'in
contratoPrint.supportText,Tsaja te bin ya sc'ambat yu'un sloqu'esel hun ta smajanel taqu'in
contratoPrint.imprimir,Sloqu'esel shunal
contratoPrint.vistaPrevia,Yocliyel teme lec ay te sloqu'esel hun
puesto,Jwohc' awa'tel
fuente,Bantic ya jtahtic yan taqu'in
pagos.id,# stojol
pagos.title,Tojoliletic
pagos.selectedPago,Xchicnajtesel yu'un stojel
pagos.folio,Yahtalul
pagos.credito,Smajanel taqu'in
pagos.fecha_pago,Sc'ahc'alel stojel
pagos.autor,Mach'a la snahcan ta hun te stojel betil
pagos.cantidad,Jaye'b
pagos.fecha_banco,Sc'ahc'alel ta snahul squ'ejohbil taqu'in
pagos.referencia_banco,Schicnaji'bal yahtalul ta snahul taqu'in
pagos.interes_ord,Spitic lanel stojel sjol taqu'inetic ta sc'ahc'alel
pagos.interes_mor,Spitic lanel stojel sjol taqu'inetic ta sc'axemal sc'ahc'alel
pagos.abono_capital,Spitic lanel stojel taqu'in
pagos.estatus_previo,Stsaquel stojel betil / stalel te smajanel taqu'in ta sc'ahc'alel stojel
pagos.deuda_prev_total,Spisil betil ta sc'ahc'alel stojel
pagos.deuda_prev_int_ord,Stojel sjol taqu'in ta sc'ahc'alel
